구,한국인,외국인,외국인 비율(%)
Total,9740398.0,285529.0,2.8
Jongrogu,151767.0,11093.0,6.8
Jongru,126409.0,10254.0,7.5
Yongsangu,228830.0,16159.0,6.6
Seongdonggu,303158.0,8132.0,2.6
Kwangjingu,352692.0,15645.0,4.2
Dongdaemoongu,346551.0,17228.0,4.7
Jungranggu,398812.0,4964.0,1.2
Seongbukgu,441590.0,12524.0,2.8
Gangbukgu,314090.0,3785.0,1.2
Dobonggu,335280.0,2314.0,0.7
Nowonggu,535282.0,4547.0,0.8
Eunpyonggu,481663.0,4496.0,0.9
Seodaemungu,310069.0,14020.0,4.3
Mapogu,373629.0,11976.0,3.1
Yangcheongu,459849.0,4082.0,0.9
Gangseogu,593708.0,6532.0,1.1
Gurogu,406748.0,33102.0,7.5
Guemcheongu,233371.0,19497.0,7.7
Youngdeungpogu,368402.0,34076.0,8.5
Dongjakgu,397618.0,12869.0,3.1
Kwanakgu,502117.0,17836.0,3.4
Seoucheogu,431027.0,4231.0,1.0
Gangnamgu,544028.0,5015.0,0.9
Songpagu,677489.0,6849.0,1.0
Gangdonggu,426219.0,4303.0,1.0
